default	NC	b	hm	d	hn	g	hx	z	s	rr	j	ny
c		cit	ciet	cat		cot		cut		cyt		
c	NM	cix	ciex	cax	cuox	cox	cex	cux	curx	cyx	cyrx	
c	NL	ci	cie	ca	cuo	co	ce	cu	cur	cy	cyr	
c	GL	cip	ciep	cap	cuop	cop	cep	cup		cyp		BS
												
zz		zzit	zziet	zzat						zzyt		
zz	NM	zzix	zziex	zzax		zzox	zzex	zzux	zzurx	zzyx	zzyrx	
zz	NL	zzi	zzie	zza		zzo	zze	zzu	zzur	zzy	zzyr	
zz	GL	zzip	zziep	zzap		zzop	zzep	zzup		zzyp		BS
												
nz		nzit		nzat						nzyt		
nz	NM	nzix	nziex	nzax	nzuox	nzox	nzex	nzux	nzurx	nzyx	nzyrx	
nz	NL	nzi	nzie	nza	nzuo		nze	nzu	nzur	nzy	nzyr	
nz	GL	nzip	nziep	nzap		nzop		nzup		nzyp		BS
												
s		sit		sat		sot		sut		syt		
s	NM	six	siex	sax	suox	sox	sex	sux	surx	syx	syrx	
s	NL	si	sie	sa	suo	so	se	su	sur	sy	syr	
s	GL	sip	siep	sap	suop	sop	sep	sup		syp		BS
												
ss		ssit		ssat		ssot		ssut		ssyt		
ss	NM	ssix	ssiex	ssax		ssox	ssex	ssux		ssyx	ssyrx	
ss	NL	ssi	ssie	ssa		sso	sse	ssu		ssy	ssyr	
ss	GL	ssip	ssiep	ssap		ssop	ssep	ssup		ssyp		BS
												
zh				zhat		zhot	zhet	zhut		zhyt		
zh	NM			zhax	zhuox	zhox	zhex	zhux	zhurx	zhyx	zhyrx	
zh	NL			zha	zhuo	zho	zhe	zhu	zhur	zhy	zhyr	
zh	GL			zhap	zhuop	zhop	zhep	zhup		zhyp		BS
												
ch				chat	chuot	chot	chet			chyt		
ch	NM			chax	chuox	chox	chex	chux	churx	chyx	chyrx	
ch	NL			cha	chuo	cho	che	chu	chur	chy	chyr	
ch	GL			chap	chuop	chop	chep	chup		chyp		BS
												
rr						rrot	rret	rrut		rryt		
rr	NM			rrax	rruox	rrox	rrex	rrux	rrurx	rryx	rryrx	
rr	NL			rra	rruo	rro	rre	rru	rrur	rry	rryr	
rr	GL					rrop	rrep	rrup		rryp		BS
												
nr				nrat			nret	nrut		nryt		
nr	NM			nrax		nrox	nrex	nrux	nrurx	nryx	nryrx	
nr	NL			nra		nro	nre	nru	nrur	nry	nryr	
nr	GL			nrap		nrop	nrep	nrup		nryp		BS
												
sh				shat		shot	shet	shut		shyt		
sh	NM			shax	shuox	shox	shex	shux	shurx	shyx	shyrx	
sh	NL			sha	shuo	sho	she	shu	shur	shy	shyr	
sh	GL			shap	shuop	shop	shep	shup		shyp		BS
												
r				rat		rot		rut		ryt		
r	NM			rax	ruox	rox	rex	rux	rurx	ryx	ryrx	
r	NL			ra	ruo	ro	re	ru	rur	ry	ryr	
r	GL			rap	ruop	rop	rep	rup		ryp		BS
												
j		jit	jiet		juot	jot		jut		jyt		
j	NM	jix	jiex		juox	jox		jux	jurx	jyx	jyrx	
j	NL	ji	jie		juo	jo		ju	jur	jy	jyr	
j	GL	jip	jiep		juop	jop		jup		jyp		BS
												
q		qit	qiet		quot	qot		qut		qyt		
q	NM	qix	qiex		quox	qox		qux	qurx	qyx	qyrx	
q	NL	qi	qie		quo	qo		qu	qur	qy	qyr	
q	GL	qip	qiep		quop	qop		qup		qyp		BS
												
jj		jjit	jjiet			jjot		jjut		jjyt		
jj	NM	jjix	jjiex		jjuox	jjox		jjux	jjurx	jjyx		
jj	NL	jji	jjie		jjuo	jjo		jju	jjur	jjy		
jj	GL	jjip	jjiep		jjuop	jjop		jjup		jjyp		BS
												
nj		njit	njiet			njot				njyt		
nj	NM	njix	njiex		njuox	njox		njux	njurx	njyx	njyrx	
nj	NL	nji	njie		njuo	njo		nju	njur	njy	njyr	
nj	GL	njip	njiep			njop		njup		njyp		BS
												
ny		nyit	nyiet			nyot		nyut				
ny	NM	nyix	nyiex		nyuox	nyox		nyux				
ny	NL	nyi	nyie		nyuo	nyo		nyu				
ny	GL	nyip	nyiep		nyuop	nyop		nyup				BS
												
x		xit	xiet			xot				xyt		
x	NM	xix	xiex		xuox	xox				xyx	xyrx	
x	NL	xi	xie		xuo	xo				xy	xyr	
x	GL	xip	xiep			xop				xyp		BS
												
y		yit	yiet		yuot	yot		yut		yyt		
y	NM	yix	yiex		yuox	yox		yux	yurx	yyx	yyrx	
y	NL	yi	yie		yuo	yo		yu	yur	yy	yyr	
y	GL	yip	yiep		yuop	yop		yup		yyp		BS
												
numeric	SP	1	2	3	4	5	6	7	8	9	0	w
	NX	〈	〉	《	》	（	）	“	”	｛	｜	｝
	NL	#	%	+	-	*	=	‘	’	［	／	］
	GL	~	_	…	、	，	。	；	：	？	！	BK
